30
0 464.808046 13.424638 476.769744 1730.620634 1777.947051
1 158.187777 400.185122 463.099181 1734.551131 1654.763932
2 91.959406 451.861269 513.678831 1755.722845 1521.647965
3 102.280139 12.338105 437.563607 1784.971722 1670.252489
4 283.862515 245.873659 425.168309 1532.196874 1684.572955
5 297.772351 263.127584 537.519161 1773.217607 1782.463888
6 482.257260 298.183005 559.921344 1600.816549 1624.609006
7 326.588548 25.978773 514.707313 1747.914128 1579.331992
8 374.453319 447.544764 594.645996 1769.430191 1529.217950
9 326.784935 364.133090 526.810875 1512.814591 1645.753267
10 373.857405 409.175006 577.684345 1558.738500 1639.398859
11 480.653368 250.111376 499.082952 1588.350397 1508.927795
12 4.194149 405.094704 470.323306 1688.099964 1708.283239
13 53.222188 47.984263 542.846074 1525.866932 1715.084134
14 149.351857 109.475022 500.785823 1542.883506 1718.943427
15 328.205592 129.359531 445.127521 1654.747956 1624.305305
16 404.906276 234.052877 448.994888 1706.802399 1504.529653
17 436.087957 229.686601 558.560140 1756.987743 1772.692547
18 482.323799 354.754890 499.034483 1694.208505 1736.813615
19 361.842673 89.026503 583.018735 1674.485603 1549.559751
20 321.237664 265.724942 589.074367 1713.334787 1593.835788
21 358.726810 83.871114 506.646446 1575.725057 1683.283592
22 233.799504 384.406959 450.498519 1770.047905 1609.347086
23 162.792339 464.085275 544.172412 1632.688108 1546.811577
24 219.822303 304.746829 473.487753 1506.156247 1553.191144
25 364.844541 75.091747 499.729689 1787.898304 1760.366901
26 497.007293 244.813352 445.315009 1695.667627 1587.028401
27 338.436856 188.672477 470.713129 1653.961875 1675.553886
28 395.411259 424.300706 530.170357 1704.706915 1636.198463
29 85.457129 455.548614 462.586579 1646.862117 1623.353440
41
0 25
1 2
1 22
1 23
2 23
2 29
3 13
3 14
4 5
4 14
4 24
4 27
5 20
5 24
6 11
6 18
7 14
7 25
8 10
8 28
9 10
9 20
9 22
9 24
10 28
11 17
11 26
12 29
13 14
14 15
14 24
15 19
15 27
16 17
16 20
16 27
18 28
19 21
20 27
21 25
22 24
4 6.000000 7.000000 0.050000
semilla: 1895443038
