50
5
0 495.848893 911.437453
1 739.192624 364.168415
2 351.119941 814.860820
3 717.947256 304.225096
4 413.113328 353.029418
5 216.705715 193.693901
6 616.852970 767.616976
7 331.137394 170.883910
8 609.880710 385.277336
9 213.163938 604.688677
10 975.114079 221.031046
11 283.300309 671.117646
12 874.634022 359.858534
13 364.185229 899.333880
14 427.665307 962.233848
15 615.458394 306.857540
16 215.114371 544.996571
17 244.868360 189.883272
18 663.380754 525.873655
19 846.472084 112.199625
20 701.759143 888.127023
21 874.012814 144.986661
22 10.602099 221.216815
23 196.040429 949.807551
24 381.513526 324.034377
25 899.064122 868.398930
26 196.195484 19.172599
27 506.004778 785.403889
28 797.172198 819.866419
29 559.440025 163.980230
30 571.466599 615.648645
31 82.612046 319.256140
32 897.406665 598.432344
33 775.894817 690.894133
34 715.089699 237.643212
35 932.393641 603.563452
36 372.635150 231.190752
37 963.577016 762.909759
38 573.207215 8.480511
39 114.316397 524.650698
40 701.890877 542.333787
41 416.437497 795.714121
42 546.855855 938.595393
43 180.861673 278.875684
44 445.845135 515.373932
45 360.643813 656.140901
46 186.875761 858.273509
47 930.689010 221.156151
48 571.141556 643.639192
49 24.657083 417.222215
88
0 14
0 27
0 41
0 42
1 3
1 8
1 12
1 18
1 40
2 11
2 13
2 41
2 45
2 46
3 15
3 34
4 8
4 15
4 16
4 24
4 44
5 17
5 26
5 43
6 20
6 27
6 28
6 33
6 42
6 48
7 17
7 36
8 15
8 18
8 44
9 11
9 16
10 47
11 45
11 46
12 32
12 47
13 14
13 23
13 46
15 29
15 34
16 24
16 39
16 43
16 44
17 26
18 30
18 40
19 21
19 34
19 38
20 28
20 42
21 34
21 47
22 31
23 46
24 36
24 43
25 28
25 37
27 41
27 48
28 33
29 34
29 36
29 38
30 44
30 48
31 43
31 49
32 33
32 35
32 40
33 37
33 40
33 48
35 37
39 49
41 45
44 45
45 48
